node,year_construction,capacity_existing
AT,1999,0.1141426135241081
AT,2001,0.0696647746318836
AT,2002,0.117834081948131
AT,2003,0.0300823116441875
AT,2004,0.0699795006715218
AT,2006,0.2057875534603527
AT,2007,0.3124592680995736
AT,2008,0.3137491293051473
AT,2009,0.1929859928391258
AT,2010,0.2814992102096915
AT,2011,0.2644208643240225
AT,2012,0.1709123265814643
AT,2014,0.1296719799798207
AT,2015,0.0218949939298462
AT,2016,0.0194160235967045
AT,2017,0.1353332150953449
AT,2018,0.1577149563950503
AT,2019,0.0318580249070837
AT,2020,0.22565613742005
BE,2007,0.0004624015919395
BE,2008,0.0012736484021972
BE,2010,0.0005420596878437
BE,2012,0.0004402867914854
BE,2014,0.0044075902603072
BE,2015,0.0019459771778981
BE,2018,0.0007384447637666
BE,2019,0.0047205068958959
BE,2020,0.0090071130915783
BG,2016,0.0033427416221804
BG,2017,0.0001304730877975
BG,2018,0.2732237878515313
BG,2019,0.0986808516480285
CH,1999,0.1546533624589692
CH,2001,0.0943897402479884
CH,2002,0.1596549826826526
CH,2003,0.0407589287004505
CH,2004,0.0948161667926475
CH,2006,0.2788243243451447
CH,2007,0.4233552654098053
CH,2008,0.4251029157078703
CH,2009,0.2614793176586028
CH,2010,0.3814070665140149
CH,2011,0.3582673859432861
CH,2012,0.2315714103210553
CH,2014,0.1756943099638743
CH,2015,0.0296658217971702
CH,2016,0.0263070315468015
CH,2017,0.1833647935742898
CH,2018,0.213690115930389
CH,2019,0.0431648664864456
CH,2020,0.3057445360154034
CZ,2003,0.0400903576509527
CZ,2004,0.0300316982472703
CZ,2007,0.0126545784386719
CZ,2008,0.0103551865144082
CZ,2009,0.0160695631214548
CZ,2010,0.0022622560125171
CZ,2011,0.0377769688193536
CZ,2012,0.0027629056498358
CZ,2013,0.1052945923547896
CZ,2014,0.0753912970427445
CZ,2015,0.0244515361832003
CZ,2017,0.0352887432759709
CZ,2019,0.039310759045543
CZ,2020,0.0818163962357447
DE,2003,0.1593855064894639
DE,2004,0.214948741039451
DE,2005,0.0740594940417229
DE,2007,0.1191473670826319
DE,2008,0.0442009613817285
DE,2009,0.2446943195997949
DE,2010,0.1223816971507798
DE,2011,0.2071361248485828
DE,2012,0.1472656031997219
DE,2014,0.2486074446888897
